content,score,sentimen
sangat puas,5,positive
"cape banget sama nih apk, bahkan jalur pengantaran prioritas pun selalu terlambat",1,negative
sangat bagus,5,positive
sangat bagus,5,positive
"terlambat terus maupun resto, driver",3,neutral
keren,5,positive
grab terbaik,5,positive
mantap lah,5,positive
sangat puas dan ramah,5,positive
sangat bagus dan membantu,5,positive
baik hati dan ramah,5,positive
"Di pesenan katanya jam sekian dateng. Ditungguin sampai hampir 2 jam gak dateng"". Tolong misal memang belum diantar itu jangan ditulis sedang diantar di apknya 🙏🏻",2,negative
banyak orang cancel. dah la mahal dekat pun kenapa ya sya punya grab ni😭,3,neutral
plikasi ini sangat bagus pengantaran nya cepat sekali,5,positive
Guud,5,positive
bagus buat perjalanan jauh 👍,5,positive
"cepat,ramah",5,positive
mdah di pahami,5,positive
hapus aja 3x order batal semua maps dan drivernya ngawur2 titiknya dimana arah nya kemana hapus aja masih ada vendor lain,2,negative
orgnya ramah,5,positive
layanan mantap,5,positive
bagus,5,positive
sangat baik,5,positive
aplikasinya mantap banyak promonya untuk naik grab motor,5,positive
lancar dan tepat waktu,5,positive
"aplikasi jelek map nya benerin anj,gara2 salah titik gw brantem sama driver luu padahal alamatnya udah gw salin akurat dari map benerin tuh sialan",1,negative
pengemudi nya ramah baik perjalanan yg sangat menyenangkan santai saya suka 😉😉,5,positive
terimakasih,5,positive
bagus,5,positive
"pake grab mtor cpt sampai,pengemudix jg ramah",5,positive
super,5,positive
"aplikask jlk., dr kmrn gua mesen grab, grabnya gajelas ga otw otw bangst",1,negative
ok,5,positive
bagus dan cepat,5,positive
sangat membantu sekali,5,positive
bagus,5,positive
"Pake Maps yg Google punya lah, biar gampang nyari alamatnya",1,negative
good,5,positive
Good,5,positive
👍👍👍,5,positive
tidak bisa cetak struk,3,neutral
dreper,5,positive
aplikasinya sangat membantu mantap lah,5,positive
mantap.trms grab,5,positive
"driver ga ada yg punya etitud bagus, makanan di kasih orang... komplen grab jg ga ada tanggepan...aplikasi apaan ini!!! kasih pelayan yg baik",1,negative
ongkirnya jangan mahal mahal napa 😭😭😭,4,positive
"Sy menerima makanan yg tidak sesuai. Paling fatal adalah level kepedasan yg akhirnya tidak termakan. Sy sudah lapor ke cs dan mereka hanya say ""MAAF"" tanpa ada solusi, dan malah menyinggung sy dengan kalimat ""Berdasarkan hasil pengecekan ditemukan hal yang meragukan dalam, tidak terbatas pada; transaksi, akun, riwayat, dan lainnya"" ini maksudnya apa?. Kalau makanan tidak sesuai dan ada buktinya, kemudian tidak sesuai dengan yg sy pesan atau kualitasnya buruk, sy harus diam aja gitu?",1,negative
ok,5,positive
apk tolol nomer gua ke blokir 3 nya baru buat langsung di blokir ah apk apa ini,1,negative
sangat membantu,5,positive
bagus,5,positive
siiip,5,positive
the best,5,positive
driver cukup baik dan sopan.,5,positive
bguss,5,positive
baik,5,positive
orng ny ramh😇,5,positive
sangat rapi,5,positive
mantab,5,positive
"ijin admin, Tolong Buka Layanan Grab Car premium untuk wilayah Batam dong",5,positive
"driver ramah, unit wàngi",5,positive
ok,5,positive
mantab,5,positive
ok,5,positive
please make it more user friendly for blind and low vision user tks,1,negative
bagus 👍,5,positive
sulit cari driver buat saya,1,negative
tepat wakty,5,positive
layanan terbaik,5,positive
Grab paling mantap,5,positive
"baru ngerasain kejadian hal tidak di inginkan, semalam saya isi saldo OVO sampai sekarang saldo belum OVO bertambah, padahal sudah berhasil di transfer, gimana ini?",4,positive
lebih mudah,5,positive
ayo gunakan alat transportasi bersama grab layanan sangat memuaskan dan amanah.,5,positive
drivernya suka cancel,1,negative
maju terus grab,5,positive
sukses selalu,5,positive
"Perdana .... alhamdulillah nyaman slama perjalanan, sudah ramah , bersih pokoknya top lah buat si abang , keselamatan penumpang no 1, sukses slalu💪🙏",5,positive
shelter di kota casablanka apa gunanya? driver dimintai uang parkir 2000? yang jaga oknum bawaan siapa itu gaya nya kayak jagoan....,1,negative
aman dan nyaman perjalanan yang menyenangkan,5,positive
driver kalau tengah MLM cari nya susah nyangkut,1,negative
bgus membatu sekali,2,negative
Ongkir grabfood makin mahal aja,1,negative
terimakasih pak,5,positive
"eror lucu ini apk, kyk kena hack",1,negative
mantap,5,positive
hari Senin 04 Oktober 2025/2026,5,positive
bagus,1,negative
mantap nih,5,positive
sangat bagus,5,positive
"Ade saya dibawa ngebut"" gajelas ,tolong di konfirmasi buat driver nya titik penjemputan di mall living world Serpong jam 10 malam , klo ada kelainan atau masalah pribadi jangan narik",1,negative
"driver grab, ramah, komunikatif bertanggung jawab atas penumpangnya",5,positive
sangat bagus,5,positive
mantap,5,positive
Good,5,positive
kerenn,5,positive
very good,5,positive
"pengemudinya komunikatif, nyaman",5,positive
mantap,5,positive
Terimakasih,5,positive
terlalu mahal untuk foodnya,3,neutral
pelayanan yang sangan 👍,5,positive
Pertahankan & tingkatkan pelayanan customer first selalu mengutamakan keselamatan,5,positive
driver nya banyak yg nolak,3,neutral
Dimana pun layanan selalu bagus,5,positive
hampir tiap hari pesan makan di grabfood...tolong adakan diskon 70%nya lagi ya🙏🙏🙏,5,positive
respon cepat & sangat membantu,5,positive
aplikasi korup,1,negative
drive sopan,5,positive
driver militan lama diutan😁,5,positive
siip,5,positive
maaf aku kasih bintang 2 karena skrng grab susah bnget connect ke driver nya gak di ambil² udah nunggu 30 menit masih aja gak d ambil²,2,negative
sangat membantu,5,positive
Rama dan baik,5,positive
sangat membantu,5,positive
kesel bgt pesanan yg gak sengaja ke klik ngga bisa dibatalin,1,negative
bagus sekali,5,positive
bagus,5,positive
sangat membatu beraktifitas,5,positive
makasi,5,positive
Alhamdulillah sangt nyaman dan baik abang grab nya selama perjalanan 🙏🙏👍👍,5,positive
okkk,5,positive
lama dapat motor/mobil,1,negative
"Udah berapa kali aku ngalami ini, pesanan dibatalkan, baik itu perjalanan maupun makanan tapi karena pembayaran menggunakan Kartu Debit, jadi saldo saya terpotong otomatis dan ketika pesanan saya batal, saldo saya tidak pernah dibalikin dan itu sudah terjadi beberapa kali, aplikasi yang sangat merugikan",1,negative
bagus,5,positive
pengemudinya siaga 👍,5,positive
baik,5,positive
"mahal banget semuanya, grabfoodnya jg makin naik ongkirnya",1,negative
baik,5,positive
driver grab baik,5,positive
saya langganan grab unlimited tapi sampe skrng tidak ada vocher diskon nya sangat sangat kecewa sudah bikin laporan belum juga da tanggapan nya,1,negative
memuaskan,5,positive
grab ok,5,positive
pelayanan cepet dan tepat waktu,5,positive
bagus dan banyak promo menarik,5,positive
saat di pagaralam pesanan tidak pernah sampai,1,negative
supir Bluebird keren baik ramah santun,5,positive
Mantap,5,positive
Bagus,5,positive
Terimakasih Driver yang Aman dan terbaik,5,positive
ok,5,positive
good app,5,positive
keren,5,positive
ramah,5,positive
sangat baik dan ramah,5,positive
Keren Mantap,5,positive
ok bgt,5,positive
sangat mrmbantu,5,positive
mempermudah banget,5,positive
"sebenernya promo dibikin buat apa ya. hari ini perkara saya order untuk oma saya di tempat belanja,dan belanjaan benar2 tidak banyak (ibarat dipangku saja bisa),saya pesan grabcar yg promo,harga paling murah jarak pun tidak jauh.driver awalnya tanya bawa barang atau tidak,saya bilang bawa tp tidak banyak,driver malah menyuruh saya membatalkan dan dia bilang ""cancel aja bu,kalau bawa barang jgn pakai yg hemat"". yg padahal kita bisa kasih dia tip lebih nantinya.",2,negative
mempermudah,5,positive
mas dopir nya ramah .,5,positive
"baik, ramah",5,positive
keren !!!,5,positive
bagus,5,positive
good aplication,5,positive
"masalahnya di pemesan driver :) padahal banyak driver disekitar tapi ga pernah diterima, udah bolak balik cari driver tapi ga diterima terima juga. ini driver emang gamau nerima uang kah?? tolong ditindak lanjuti driver seperti itu ya, tolong terima apa adanya :)",3,neutral
muncul sendiri. saya cari pencarian apk lain. malah muncul ini.,1,negative
"tarif aja suka"" elu, masak driver gaboleh suka"", tolol amat lu gag memanusiakan driver, tolong bagi konsumen saya kasitau, ini aplikasi tarifnya sama seperti gojek, tapi potongan ke driver bener"" tidak manusiawi, bahkan sudah ada yg menyentuh 50%, saya driver suka heran nagih ke customer 22 ribu tapi yg masuk ke saya 12k, kalian kalau tetep menggunakan ini apk berarti juga sama saja tidak memanusiakan driver",1,negative
okee,5,positive
bagus,5,positive
membantu bgt,5,positive
baik,5,positive
Memuaskan dan sangat mudah,5,positive
pelayanan anda menyenangkan dan memuaskan sekali,5,positive
"mau laporan hp tertinggal di mobil grab, caranya bagaimana yaa??",1,negative
sangat membantu dan tepat waktu,5,positive
great,5,positive
"semakin lama semakin banyak tingkah driver2 grab, ga like, buat driver2 yg ga niat buat antar penumpang, gausah kerja, kalian malah buat penumpang kali jadi kesusahan",1,negative
petunjuk maps tidak sesuai,4,positive
"Taik kucing lah... aplikasi males diisi OVO.. susah bgt cek nomor profil, karna lupa nomor yg mana.. beda kaya app sebelah gojek-shoppe diklik profil langsung ketemu nomo profilnya jadi cepet mau isi ulang. najis pakai grab apalagi ovo kalau masih begini...",2,negative
"aplikasi yang sangat membantu ,",5,positive
"Makin kemari makin ngak jelas. uda kita order express. tapi pengemudi nya lelet. mau batalin juga kagak bisa. Kalau drivernya lama, kami seharusnya berhak cancel. ini masalah waktu.",1,negative
"Naik grab bike di map arah jalannya rute tol dan bayarnya rute tol, padahal saya aja memilih grab bike bukan grab car. Tolong dong di benahi bugnya sebelumnya saya aman aja naik grab bike sesuai rutenya tidak ke rute tol walau pakai grab bike, jangan mengecewakan pelanggan setia mu...!!",1,negative
baik dah ramah,2,negative
"saya kecewa berat sangat berat dengan driver kajadian hari ini jam 11:33 tgl 06-10-25 istri saya pesan KENDARAAN MOTOR untuk bawakan barang,mksd saya klo ga bisa tinggal bilang dan cancel done,tidak usah dengan cara menghina seakan-akan istri saya ga ada otak saya warning ya saya udah kantongi nama dan plat nomor nya klo sampe ada apa² saya proses",1,negative
good job,5,positive
driver ramah,5,positive
sangat membantu,5,positive
pakai grab lebih mudah murah mewah driver sopan sabar dan baik👍🏼👍🏼👍🏼,5,positive
aplikasi ternyaman untuk pesan makanan ataupun minuman👏,5,positive
ok,5,positive
mantap,5,positive
drivernya jujur,5,positive
trip menyenangkan,5,positive
ok,5,positive
titik lokasi kurang akurat,2,negative
saya ga merasa berlanganan grab Unlimited .... tiba tiba saldo saya di ovo ilang... saya cek ternyata kepotong grab unlimited... jgan main potong dan sedot dana lah.. konfirmasi dulu... taik lah klau begini jadi males instal grab,2,negative
mantap bagus sangat membantu,5,positive
👍,5,positive
bagus,1,negative
good job,5,positive
",👍",5,positive
mantab,5,positive
"is the best, 👍🏼👍🏼👍🏼",2,negative
sangat puas mengunakan grab,5,positive
baik,5,positive
👍👍,5,positive
sangat baik,5,positive
"nyaman,",5,positive
"aplikasi gak bermutu, mau simpan alamat detail saja tidak bisa. padahal apl sebelah gampang.",1,negative
baik,5,positive
keren,5,positive
sdh bagus dn sesuai,5,positive
sangat baik,4,positive
membantu sekali,5,positive
tujuan sudah samapai dan sempurna,5,positive
pelayanan baik,5,positive
membantu bangetttt,5,positive
cepat dan sigap,5,positive
grab tolol.. hemat kok malah lama banget minimal dapet driver 15menit suru nunggu,1,negative
sangat puas,5,positive
gokil,5,positive
mntp bnyk promonya gua jamin bisa bersaing dri gojek dan maxim krena mreka kgak prnah ad prmo kek grab😂😂😂🤣🤣🤣🥳🥳🥳,4,positive
ok,5,positive
"harga sering berubah² dadi harga awal, pada saat diperjalanan juga sering berubah, yang awalnya cuman 10.000 jadi 12.000 kalo bikin aplikasi yang bener lah kocak, mending indrive! pasti harganya, aplikasi bodong",1,negative
"lama banget proses nya,hapus aja ni aplikasi",1,negative
sangat baik,5,positive
mantep,5,positive
bagus rajin sopan,5,positive
"setiap mau di pake pasti mesti update dulu,, mana lama lagi instalnya, tidak semua yang mau pake aplikasi ini dalam kondisi tidak terburu-buru",3,neutral
mantab,5,positive
sangat memuaskan,5,positive
tepat waktu,5,positive
mantap,5,positive
luar biasa,5,positive
Tetap semangat,5,positive
sangat membantu,5,positive
good,5,positive
terbaik👍💯 sering pakai waktu kerja di Malaysia🇲🇾,5,positive
mantap,5,positive
oke,5,positive
driver ramah,5,positive
good 👍 job 💯,5,positive
"Baru tadi saya mesan grab car,udah nunggu nya lama chat saya nggak di balas si driver malah nge cancel pesanannya tanpa memberitahu saya dulu..kecewa saya",1,negative
"sudah lama saya berlangganan grab food terutama baru kali ini saya dapat driver etika kurang baik driver marah marah padahal kurang dari 10 menit sejak dia sampai saya lihat di history dia tlf mau saya angkat tidak ada tombol hijau, saya turun sampai bawah marah2 dikira saya ga angkat tlf A-8EUKFDEWWBNEAV cukup dan terakhir kalinya",1,negative
terbaik,5,positive
ramah tamah,5,positive
nyaman,5,positive
bagus,5,positive
"aplikasi bikin mood jelek, dibatalin gak bisa driver ditungguin malah gk jelas di tlfn ga diangkat di chat ga dibalas",1,negative
"Pesanan terlalu lama saya menunggu 1 jam. Saat di cek pesanan masih dibuat tetapi waktu menghubungi layanan, tertera bahwa pesanan sudah mendapat driver. Aneh sekali Aplikasi ini",1,negative
"Apaan gw pesen makanan gak di kirim , nggak bisa chat pengemudi, harusnya saya yang bisa pencet SELESAI",5,positive
bapaknya ramah. tepat waktu,5,positive
sangat puas,5,positive
baik kata temen saya...aplikasinya pake punya saya,5,positive
ok sip,4,positive
mantaap,5,positive
sesuai wkt. puas pelayanan,5,positive
terbaik,5,positive
thanks you,5,positive
👎,3,neutral
sangat baik,5,positive
layanan memuaskan,5,positive
"pelayanan sangat bagus, drivernya alhamdulillah baik 👍",5,positive
sangat ramah,5,positive
Oke,5,positive
cepat yujuan,5,positive
gampang pesan,5,positive
Hallo Grabe. mohon dibantu jika Grabe setelah melakukan perjalanan. berikan list perjalanan yg bisa di download.,5,positive
baik ramah,5,positive
"kalo pesen hemat, lelet bgt. entah gimana sistemnya. kyknya sengaja ditunda sama grab klo pesen hemat, jd pesanan gk langsung masuk ke merchant. di awal di kasih keterangan waktu tunggu 30 menit. tp ngaret sampe 1 jam",1,negative
good,5,positive
jossss,5,positive
mantep,3,neutral
"buruk!!!! udah pesan makanan dengan estimasi 40 nenit di menit 28 di batalin sendiri,padahal mesan buat orang sakit,udah rela nunggu stengah jam dan ini balasannya,REDFLAG",1,negative
oke,3,neutral
terimakasih,5,positive
tetap terbaik...,5,positive
tarif ny naikin dong kasian driver,5,positive
Bagus Sangat Membantu :),5,positive
berisik iklan lu,2,negative
mantap,5,positive
mantap,5,positive
sipp dahh,5,positive
kasih murah onkirnya pls tutututu :3,5,positive
byk aturan,1,negative
mantab,5,positive
selama aku pakai grab nggak ada kendala paling lama nyari drivernya doang terus banyak promo juga jadi nyaman pakainya dan hemat lebih ekonomis dan aku suka banget pakai fitur grabfood pokoknya tingkatin lagi pelayannya good job,5,positive
baik,5,positive
banyak diskon menarik,5,positive
driver nya Ramah... perjalanan Lancar👍,5,positive
sangat puas,5,positive
pertahankan pelayanannya. kkonsumen,5,positive
kenapa ya driver grab car dengan gocar lebih cepat gocar rsponsif y jarak sama harga malah jlebuh murah gocar selisih 5ribu butuh waktu menunggu sampai 20menit sampai akhirnya cari dengan gocar jujur soal responsif gocar lebih baik dan murah dri grabcar,1,negative
cuma ggra macet sdkit masa di cancel aneh bangettt aplikasi ga rekomendasi,1,negative
baru nyoba,5,positive
mantap,5,positive
pelayanan baik datang tepat waktu.,5,positive
"lagi sampah banget ini, driber pada jauh",1,negative
ALAMAT GA PERNAH JELAS,1,negative
cepat dan ramah,5,positive
iklan game isinya ini mulu sebel,1,negative
"layanan cepat, respon drivernya juga oke",4,positive
"INI KENAPA KOK SUPERBANK SAYA TIBA2 TDK BISA DIGUNAKAN KATANYA ""PERANGKAT TIDAK KOMPATIBEL"" LAH DRI DLU SAYA MAKE HP INI BYAR PAKE SUPERBANK KOK TIBA2 GABISA YA , TOLONG BUG ATAU EROR SEPERTI INI SEGERA DITANGANI SAYA SERING BAYAR PAKE SUPERBANK TP INI KOK TIBA2 GAK BISA",1,negative
aplikasi cepat terbaik,5,positive
terimakasih..!,5,positive
Mantulll...,5,positive
bagus,5,positive
orangnya ramah baik,5,positive
sangat bagus,5,positive
ongkirnya sekarang naik drastis beh,1,negative
jossss,5,positive
sempurna,5,positive
membantu,5,positive
baik,5,positive
sopan,5,positive
top,5,positive
sangat membantu sekali,5,positive
puas,5,positive
"Keren sopir taksi nya ramah serta ,,,enak mengemudi nya",5,positive
oke,5,positive
"hay, ini kok ga ada di HP ku ya apk nya pdhl. udh diinstal tiba2 ga ada di HP tp status terinstal",5,positive
sekarang ongkirnya mahalll bangett ngga kaya dulu,2,negative
grab the best,5,positive
pelayanan publik yg terbaik,5,positive
bagus ramah oke,5,positive
sangat ramah care pada customer disabilitas tuna netra seperti saya,5,positive
pengemudi x baik n ramah,5,positive
"ada yg aneh menurut saya,masa dari rumah ke sekolah 9,5k sedangan dari sekolah ke rumah 10k 😅",4,positive
baik,5,positive
sangat bagus,5,positive
marahal,1,negative
oke,5,positive
driver ramah,5,positive
GRAB TETAP DI HATI,5,positive
baik aman terkendali,5,positive
"udah sering pesan grab hemat yg 7500, tiba² sekarang pesan grab hemat 7500 pas sudah sampe tujuan, tiba² dipinta oleh aplikasinya 12.000, ga lagi² deh, kalo udah sekali gini pasti ntar gitu, kecewa. uninstallllll",1,negative
lama dapat pengemudinya,2,negative
terpercaya,4,positive
ramah dan nyaman,5,positive
sesuai kebutuhan,3,neutral
FORCE CLOSE GJLS APK NYA,3,neutral
lambat,3,neutral
mantap,5,positive
puas dengan pelayanannya,5,positive
bagus,5,positive
very good lah,5,positive
"sip lah, semoga tetap berjaya bersama ummat tegakkan syariah! Allahu Akbar!",5,positive
penipu buat iklan 1 rupiah taikk,1,negative
pelayanan sangat baik,5,positive
cukup nyaman,5,positive
cara pakainya simple👍👍👍,5,positive
mantep,5,positive
baik,5,positive
rute penjemputan GK tepat... tolong di perbaiki...,1,negative
mntap bnget,5,positive
bagus,5,positive
sangattt Nyaman cepat saat di gunakan aplikasi nya 👍,5,positive
bagus,5,positive
oke banget,5,positive
"Hello Grab, aku pelanggan setia bangettt loh terbilang sering pakai apk grab, entah pesan makanan/ojol/paket dll. Agak di buat kecewa dengan layanan pengembalian dana langsung jika pesanan dibatalkan sepihak. Kenapa sekarang dana nya gak langsung kembali ke rekening? kenapa harus nunggu?. Biasanya langsung loh ya.",1,negative
"permisi min cuma nau kasih saran aja.banyak driver sekarang itu kalo kita màkin baik malah di sepelekan seperti contohnya tadi, udh terlambat dalam penjemputan dan itupun belagu gitu bukannya minta maaf mala minta rokok alasanya telat belum isi bensin, sengaja aku kasih uang besar malah nyepelein kaya kaga ada kembalian kaya mau minta uang tambahan gitu lah. intinya untuk kedepannya mohon di evaluasi lagi min para driver untk daerah krian Mojokerto dan sekitarnya untuk identitas driver masih ada",1,negative
sangat membantu.. apalagi dlm keadaan darurat waktu,5,positive
tolong tindak yaa. saya pesan makanan udah 2 jam tp gada keterangan dari pihak resto atw driver nya.,1,negative
sulit untuk cancel pesanan,1,negative
good,5,positive
"mantap,cepat respon,terbaik👍",5,positive
👍👍👍👍,5,positive
sangat baik,5,positive
"mau cancel ribet harus chat dengan cc, butuh cepat di tunggu 15menit lebih gak dateng2 mobilnya.. mohon di perbaiki layanannya..",1,negative
tdk bs dr hp saya,1,negative
ramah,5,positive
"grab ini selalu muncul di iklan capcut . gak sekali dua kali tapi tiap mau upload selalu muncul , tolong dong saya nih mau bikin capcut bukan mau pesan makan atau jasa dll😮‍💨",1,negative
Baik,5,positive
Aplikasi Yang Sangat Bagus,5,positive
"driver nya udah pada belagu, gk ada yg mau ambil orderan GrabFood. klo udah pada kaya gk usah jadi driver ojol",1,negative
kurang puas dikit.....,4,positive
ini diskon 70% hilang kah?? tolong balikin ya,4,positive
tepat waktu,5,positive
ramah dan amanah,5,positive
promonya akal-akalan,1,negative
"Saya penguna grab baru mudah""an layananya memuasak,TQ",5,positive
"kecewa banget,udh nunggu lama malah di cancel driver",1,negative
bagus,5,positive
baik,5,positive
sangat ramah,5,positive
"semuanya baik, bersih, sopan n tepat waktu.",5,positive
"alhamdulillah dapat ibu"" baik hati love sak kebun aku udah ketat ketir takut kirain cowok ternyata ibu"" aamiin di anterin sampai kos.. padahal ketikan ku salah",5,positive
sangat bagus,5,positive
ok,5,positive
Alhamdulillah perjalanan jd mudah & lancar,5,positive
tepat waktu,5,positive
ok,5,positive
bagus sekali,5,positive
cepat,5,positive
mnatp,5,positive
"sudah bagus, tapi syg banget tidak bisa pilih driver perempuan",4,positive
"grab sekarang dapat driver jauh mulu, padahal saya selalu pake grab krn dapatnya driver yg deket. Jadinya butuh waktu makin lama utk menunggu, tolong dikembalikan seperti dulu dapatmya driver terdekat",3,neutral
bisa hantar kemana sahaja,5,positive
Ramah dan Sopan,5,positive
cepat waktu d tujuan,5,positive
Google Maps lu ngaco.,1,negative
antapp,5,positive
terimakasih dgn adanya aplikasi ini perjalanan jadi mudah,5,positive
Jaya teruss,5,positive
sangat puas,5,positive
keren,5,positive
sangat membntu,5,positive
terbaik,5,positive
lezatnya ALHAMDULILLAAH😁,4,positive
mahao,1,negative
terimakasih bapak,5,positive
Untuk pengemudinya etika nya jelek.,1,negative
mantap,5,positive
"UX yang ditampilkan bikin ribet.... pada pilihan menu kolom grabfood, penghapusan history, mohon maaf ini bukan kritik hanya masukan. Saya masih tetap menggunakan aplikasi ini sejak tahun 2021.",5,positive
"saldo OVO saya terpotong.padahal saya tidak memberikan tip ke pengemudi. sudah dilaporkan ke pihak grab, dalam waktu 3x 24 jam saldo OVO dijanjikan kembali. tapi sampai saat ini saldo OVO tersebut tidak masuk juga.",1,negative
terbaik,5,positive
👍👍👍,5,positive
bagus 👍,4,positive
ok,5,positive
"sopan,senyum,salam,ramah,komunikatif, sangat membantu, utamanya kalau konsumennya Lansia. Dapat dipercaya.Terima kasih",5,positive
"tolong perbaiki lagi sistemnya,untuk pembatalan 2 pihak(konsumen dan pihak resto) atau diadain fitur chat konsumen dan pihak resto untuk konfirmasi. udah lama nunggu ternyata tidak jadi. buang buang waktu saja sampai Berjam jam. lama lama pasti grab tidak ada lgi peminatnya KLO begini terus.",1,negative
sudah bagus di pertahankan dan tingkatkan lagi,5,positive
terimakasih sudah membantu pelanggan graab,5,positive
oke,5,positive
promo nggak jelas!!! 🐽🐽🐽,1,negative
baik,5,positive
terimakasih sudah sampe tujuwan,5,positive
awesome,5,positive
saya suka,5,positive
keren,5,positive
top bnget diskon promo nya,5,positive
bagus,5,positive
sangat memuaskan,5,positive
pelayanan sangat baik,5,positive
"lama, telat setengah jam",1,negative
gabisa login,1,negative
solusi cepat...,5,positive
grab memang ok,5,positive
bagus,5,positive
nih k. hyung hati ncnhht,2,negative
banyak promo.. kalau misal Nemu pengemudi yang ramah juga happy..,5,positive
baru coba,5,positive
bagus,5,positive
baik,4,positive
supir ramah,5,positive
layanan sangat baik,5,positive
bagus banget,5,positive
all oc,5,positive
baik,5,positive
Good,5,positive
bgus,5,positive
"sangat kooperatif, humble",5,positive
"argo nya ke murahan kasian driver nya, potongannya terlalu besar.",1,negative
tepat waktu ramah terimakahs,5,positive
keren,5,positive
biar bintang yg berbicara,5,positive
"apk yg membantu dlm keadaan darurat beli makan. tapi tlong ditambahin fitur cancel untuk driver bagi pembeli. agar bisa cancel driver yg ambil makanan minta tambahan biaya. hari ini saya pesan makanan. driver minta tambahan parkir. sya minta nota parkirnya karna sya mau klaim di kantor sy, ttapi driver marah² tdk ada nota parkir alasannya karna parkir liar dan dia ambilnya pakai mobil. dengan sangat untuk grab.. mohon ditambahin fitur cancel bagi pembeli. guna menghindari driver² yg seperti ini",3,neutral
tercepat dan terpercaya,5,positive
Ok,5,positive
sangat baik orngx ramah,5,positive
sangat membantu,4,positive
layanan yg sngt bagus,5,positive
"pesen grabfood lama bgt pesen 10,20 diaplikasi tertis 1,50 pesen 11mnt dgn harga lebih mahal dtgnya trep 1 ½ jam",3,neutral
terbaik,5,positive
mantap,5,positive
susah di downlod,1,negative
bagus pelayanan nya,5,positive
oke,5,positive
cukup membantu,4,positive
"Loading nya lama + kadang error, padahal sudah memakai data.",3,neutral
"kalau jamnya molor minimal ada kompensasi lah, udah molor lebih 2 jam gk ada kompensasi apa apa",1,negative
"asli sampah ada fitur qris percuma tidak bisa di gunakan, bodoh sistemnnya yang bagian pembuat coding nya asli sampah Verif sampai jutaan kali percuma saja",1,negative
ok,5,positive
"Mantap pelayanannya, terimakasih.",5,positive
bagus,5,positive
sub tiba2 saldo kepotong,1,negative
"Biasa grabfood sehari 5 kali. sekarang stop no grabfood. tobat, karena diskon 70% dihilangin grab tiba2. Sudah ga mau ikut grabunlimited lagi",1,negative
"kapok pesan order makanan disini, terlambat hampir 1jam 1/2. ganti aplikasi aja",1,negative
terimakasih,5,positive
"harganya terjangkau, kualitas baik banget.. recommended deh",5,positive
Cepat pengiriman,5,positive
saya suka,5,positive
bagus,5,positive
bagusss,5,positive
cari titik alamat tidak pada tempatnya,3,neutral
sangat baik,5,positive
Alkhamdulillah perjalanan jadi mudah,5,positive
sangat puas,5,positive
sangat Bagus Driver nya ramah dan the best,5,positive
"Saya tambah bintang lima, karena kode QR saya sudah berfungsi dengan baik.. Terima kasih Grab Merchant",5,positive
aman dan terpercaya,5,positive
nyaman,5,positive
gabisa login atau daftar malah muncul tulisan mulu tolong dong min kasih bantuannya ni buat aplikasinya yg malah eror kayak gini,1,negative
mantap pelayanannya,5,positive
keren mantap ramah,5,positive
ramah,5,positive
mantap,5,positive
mahal kali pesan makanan,4,positive
ramah dan baik,5,positive
mantap,5,positive
sumpah gofood ga jelas gue pesen makan jam 21.30 di chat sma ojolnya yg namanya agus motor vario f 4050 fdj di jam 22.18 katanya pesenan akan diantar setelah selesai disiapkan ya ka dan alamat udah sesuai lah di 22.26 kenapa ojolnya ganti jadi anggi pangestu sukma motor pcx160 f 3007 fjk tiba2 ngechat bang jangan ngerjain malah gue dibilang mau nipu dengan alesan dia liat gat kontak apaan yg jelas bukan no gue yg di screen sumpah tolot bilang aja lu malea nganterin pesenan orang woy.. tolol,1,negative
bagus banget,5,positive
sangat membantu perjalanan,5,positive
"Sudah install berapa kali masih tidak bisa, tautkan dana dan ovo sering error. Sudah ganti device masih tetap sama",1,negative
on time,4,positive
"Makin lama Grab makin semena² kasih biaya. Semakin mahal pesan di Grab. Banyak banget dibebankan biaya. Biaya jasa, Biaya aplikasi, Biaya kemasan, belum lagi Biaya antar yang semakin lama semakin besar. Bohong aja tulisannya Biaya ongkir gratis, begitu kita mau pesan, tetep aja dikenakan ongkir. Sudah banyak keluhan driver di Grab. Khususnya Driver Grabcar. Kasihan Grab memeras para drivernya dengan potongan 40%. Bener² Grab lintah darat banget!",2,negative
tolong perbaiki pesanan grab foodnya - kasih waktu untuk cek kembali orderan sblm di proses. ini tiba² tampilan berubah langsung proses makanan. eeh busettt. malah ga bisa batal. padahal baru aja 1-5 detik.,2,negative
keren,5,positive
Alhamdulillah layanan cepat,5,positive
👍,5,positive
sangat bagus sekali nak tengok bola,5,positive
𝗼𝗸,5,positive
oke,5,positive
Service sangat baik. Mantaaap...,5,positive
🤡🤡,1,negative
"driver, ramah asik diajak ngobrol",5,positive
ok,5,positive
good,5,positive
Di coba dulu,3,neutral
apaan isi nya driver gk bermutu masa sudah di bayar pake ovo makanan gk datang dan mala di peribet,1,negative
sangat baik,5,positive
Bis update Gak bisa masuk ... Malah kek daftar lagi,5,positive
ok,5,positive
terbaik,5,positive
siippp,5,positive
keren,5,positive
mantap,5,positive
Bgus,5,positive
kerren,5,positive
ramah sekai,5,positive
"tololllll, masa cancel aja kena biaya kompensasi drivernya yg bermasalah malah customer yg bayarrr, makanya kebanyakan driver jdi pada males",1,negative
good aplikasi,5,positive
